<<<<<<< HEAD
﻿category,subCategory,itemName,fileName,attack,heal,satiety,batteryCharge,sightRange,capacity,deathRate,durability,weight
소모,보조배터리,배터리1,SM_Item_Battery_01,0,0,0,20,0,0,0,1,10
소모,보조배터리,배터리2,SM_Item_Battery_02,0,0,0,10,0,0,0,1,5
소모,음식,캔1,SM_Item_Can_01,0,0,5,0,0,0,0,1,5
소모,음식,캔2,SM_Item_Can_02,0,0,6,0,0,0,0,1,5
소모,음식,캔3,SM_Item_Can_03,0,0,7,0,0,0,0,1,5
소모,음식,캔7,SM_Item_Can_07,0,0,8,0,0,0,0,1,5
소모,음식,캔8,SM_Item_Can_08,0,0,8,0,0,0,0,1,5
소모,음식,캔9,SM_Item_Can_09,0,0,10,0,0,0,0,1,5
장비,무기,칼1,SM_Item_Craft_Knife_01,3,0,0,0,0,0,0,10,3
소모,음식,음료1,SM_Item_Drink_01,0,0,7,0,0,0,0,1,5
장비,무기,후라이팬1,SM_Item_Frypan_01,5,0,0,0,0,0,0,30,7
소모,치료제,약1,SM_Item_Pills_01,0,30,0,0,0,0,0,1,3
장비,스마트폰,스마트폰,SM_Item_SmartPhone_01,0,0,0,0,0,0,0,0,0
장비,라이트,라이트2,SM_Prop_Flashlight_02,0,0,0,0,10,0,0,30,3
장비,라이트,라이트3,SM_Prop_Flashlight_03,0,0,0,0,20,0,0,30,5
장비,라이트,라이트5,SM_Prop_Flashlight_05,0,0,0,0,40,0,0,40,7
장비,무기,빠루,SM_Wep_Crowbar_01,7,0,0,0,0,0,0,30,20
장비,무기,망치,SM_Wep_Hammer_01,7,0,0,0,0,0,0,25,20
장비,무기,칼2,SM_Wep_Melee_HuntingKnife_01,5,0,0,0,0,0,0,20,3
소모,음식,사과,SM_Prop_Food_Apple_01,0,0,5,0,0,0,0,1,3
소모,음식,치즈,SM_Prop_Food_Cheese_Stack_02,0,0,10,0,0,0,0,1,7
소모,음식,닭가슴살,SM_Prop_Food_Chicken_Breast_Cooked_02,0,0,7,0,0,0,0,1,5
소모,음식,도넛,SM_Prop_Food_Donut_04,0,0,6,0,0,0,0,1,3
